Species,Species_dup,Class_oro,Class_para,Class_transcriptome,raw,F84,missing_eukaryote_busco,fragmented_eukaryote_busco,missing_plant_busco
Amb,Amb,0,0,0,0.349701553,0.476510266,2,13,89
Cin,Cin,0,0,0,0.322940652,0.426939381,9,9,71
Vvi,Vvi,0,0,0,0.296671156,0.382570002,5,10,67
Cit,Cit,0,0,0,0.289714688,0.370617616,4,16,74
Gos,Gos,0,0,0,0.289473181,0.37046188,0,1,9
Tca,Tca,0,0,0,0.286317985,0.365302143,0,2,4
Pru,Pru,0,0,0,0.295022921,0.37955245,0,0,4
Mes,Mes,0,0,0,0.291559146,0.373644491,2,3,23
Act,Act,0,0,0,0.305845362,0.397931242,4,26,113
Han,Han,0,0,0,0.314528366,0.412480029,24,16,187
Mim,Mim,0,0,0,0.320001511,0.422255417,8,6,35
Ses,Ses,0,0,0,0.31962347,0.421221238,17,14,96
Ole,Ole,0,0,0,0.308512844,0.402080849,3,10,127
Aqu,Aqu,0,0,0,0.326086519,0.43292401,2,2,23
Hel,Hel,0,0,0,0.324238943,0.429852114,3,3,30
Dau,Dau,0,0,0,0.316073481,0.415369853,15,11,131
Sol,Sol,0,0,0,0.318065336,0.418286547,0,5,37
Ath,Ath,0,0,0,NA,NA,0,0,6
Ipo,Ipo,0,0,0,0.314971993,0.413456404,0,4,17
Osa,Osa,0,0,0,0.35310768,0.482974945,0,10,56
Sor,Sor,0,0,0,0.360700482,0.497347189,0,1,14
Gly,Gly,0,0,0,0.311744648,0.407916138,0,1,3
Vac,Vac,0,0,0,0.317398119,0.417909665,1,2,13
Ptr,Ptr,0,0,0,0.300124351,0.388031915,0,0,13
Cof,Cof,0,0,0,0.315988516,0.415633953,3,9,25
Cus,Cus,0,1,0,0.327175872,0.434828842,7,5,206
Conopholisamericana,Conopholisamericana,1,1,1,0.31295849,0.4098099,8,28,264
Epifagusvirginiana,Epifagusvirginiana,1,1,1,0.291551202,0.373267023,30,60,304
Ofasciculata,Ofasciculata,1,1,1,0.32017488,0.422512976,4,27,357
Pht,Pht,1,1,0,0.317954105,0.418868397,5,20,162
Castilleja,Castilleja,1,1,1,0.304871213,0.395889212,26,57,358
Pedicularis,Pedicularis,1,1,1,0.323576599,0.428895655,4,9,97
Alectra,Alectra,1,1,1,0.325039941,0.431098371,2,12,230
Escobedia,Escobedia,1,1,1,0.33078084,0.441449912,3,6,63
Aeginetia,Aeginetia,1,1,1,0.330351219,0.441421725,5,14,407
Christisonia,Christisonia,1,1,1,0.335813337,0.451214426,2,2,349
Euphrasiaarctica,Euphrasiaarctica,1,1,0,0.315880285,0.415019572,6,28,197
Lphi,Lphi,1,0,0,0.318614143,0.419774623,0,0,11
Pae,Pae,1,1,0,0.33044483,0.441034159,8,7,333
Str,Str,1,1,0,0.338699952,0.455945039,6,10,92
Ocumana,Ocumana,1,1,0,0.32546327,0.42463257,1,4,283